model,detail,mae,rmse
PMF,baseline,0.755730560210482,0.9832118922577227
UserCF,baseline,0.7678336111826972,0.9934849966492136
ItemCF,baseline,0.7750780175130063,0.9955427191488118
UserCF,sim=cosine,0.7678336111826972,0.9934849966492136
ItemCF,sim=cosine,0.7750780175130063,0.9955427191488118
UserCF,sim=msd,0.74454514579334,0.9680193818979161
ItemCF,sim=msd,0.7213352792483354,0.9346912695798839
UserCF,sim=pearson,0.773210340664606,0.9989774306081465
ItemCF,sim=pearson,0.7676820938051845,0.9885052422388044
UserCF,k=10,0.7788221927237966,1.0101771328877898
ItemCF,k=10,0.8211208186626461,1.0496212157253784
UserCF,k=20,0.7684895441760021,0.9964078292233645
ItemCF,k=20,0.7943831057070191,1.016995764970934
UserCF,k=40,0.7678336111826972,0.9934849966492136
ItemCF,k=40,0.7750780175130063,0.9955427191488118
UserCF,k=60,0.7689967097552016,0.9935483431223631
ItemCF,k=60,0.7671172694360433,0.9863312074284645
